-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
October,1,860,969,"1,058",50.3,0.34,0.47,0.63,0.08,0.95,1.22,1.39,0.10
October,2,890,"1,007","1,078",51.0,0.36,0.52,0.69,0.09,0.96,1.30,1.47,0.11
October,3,884,"1,020","1,090",52.8,0.37,0.54,0.72,0.09,1.01,1.33,1.51,0.11
October,4,877,"1,019","1,095",54.6,0.37,0.54,0.71,0.10,1.00,1.32,1.51,0.13
October,5,885,993,"1,074",45.0,0.35,0.51,0.70,0.09,0.97,1.27,1.47,0.11
October,6,821,923,"1,037",48.0,0.30,0.45,0.69,0.10,0.89,1.16,1.44,0.13
October,7,809,894,980,40.8,0.25,0.42,0.69,0.10,0.86,1.10,1.41,0.13
October,8,778,858,936,37.4,0.22,0.38,0.65,0.10,0.81,1.04,1.35,0.12
October,9,752,827,885,30.2,0.22,0.35,0.52,0.07,0.76,0.98,1.16,0.09
October,10,747,811,855,25.6,0.22,0.33,0.46,0.06,0.75,0.95,1.08,0.07
October,11,746,800,843,22.4,0.21,0.32,0.45,0.06,0.77,0.92,1.05,0.06
October,12,746,796,841,24.0,0.21,0.31,0.42,0.05,0.76,0.91,1.04,0.06
October,13,735,787,833,28.0,0.21,0.31,0.43,0.05,0.73,0.90,1.04,0.06
October,14,720,777,832,30.2,0.21,0.30,0.44,0.05,0.72,0.89,1.03,0.06
October,15,713,774,838,34.1,0.22,0.30,0.41,0.05,0.71,0.88,1.04,0.07
October,16,713,778,847,37.0,0.22,0.30,0.39,0.04,0.70,0.89,1.01,0.07
October,17,732,791,847,33.1,0.22,0.30,0.40,0.05,0.72,0.90,1.01,0.06
October,18,747,796,858,27.3,0.22,0.30,0.39,0.05,0.75,0.90,1.00,0.06
October,19,677,757,820,33.8,0.21,0.28,0.37,0.04,0.72,0.85,0.95,0.05
October,20,705,772,842,35.3,0.22,0.29,0.40,0.04,0.72,0.88,0.99,0.06
October,21,733,812,874,37.1,0.23,0.33,0.43,0.05,0.76,0.94,1.07,0.06
October,22,771,851,905,34.2,0.26,0.36,0.48,0.06,0.79,1.01,1.13,0.07
October,23,779,869,921,33.8,0.26,0.39,0.49,0.06,0.81,1.06,1.17,0.08
October,24,790,903,954,38.8,0.28,0.42,0.56,0.07,0.83,1.12,1.28,0.10
November,Monthly Average,639,828,"1,088",87.8,0.17,0.37,0.74,0.12,0.62,0.96,1.42,0.15
November,1,823,905,"1,011",41.2,0.27,0.48,0.67,0.09,0.98,1.11,1.21,0.06
November,2,872,958,"1,060",41.6,0.30,0.53,0.72,0.11,1.05,1.20,1.32,0.07
November,3,890,978,"1,064",39.3,0.34,0.56,0.72,0.11,1.09,1.24,1.36,0.06
November,4,923,985,"1,086",38.1,0.35,0.56,0.74,0.11,1.09,1.24,1.42,0.06
November,5,921,974,"1,088",40.3,0.33,0.53,0.73,0.10,1.07,1.21,1.42,0.07
November,6,862,921,"1,014",37.4,0.25,0.44,0.68,0.10,0.96,1.09,1.24,0.07
November,7,800,859,962,44.2,0.21,0.36,0.59,0.09,0.83,0.98,1.15,0.09
November,8,759,824,925,45.0,0.20,0.34,0.57,0.08,0.82,0.93,1.14,0.09
November,9,752,802,862,30.6,0.22,0.33,0.56,0.07,0.81,0.90,1.05,0.06
November,10,727,790,847,29.6,0.21,0.32,0.54,0.06,0.80,0.88,0.99,0.05
November,11,726,779,832,27.6,0.21,0.31,0.52,0.07,0.79,0.87,0.97,0.05
November,12,719,776,828,28.7,0.21,0.32,0.50,0.07,0.80,0.87,0.98,0.05
November,13,717,779,829,28.9,0.21,0.32,0.50,0.07,0.76,0.88,0.99,0.05
November,14,726,782,834,28.0,0.21,0.33,0.50,0.07,0.82,0.88,1.02,0.05
November,15,729,784,837,26.1,0.22,0.34,0.47,0.07,0.79,0.89,1.03,0.05
November,16,736,792,839,27.2,0.22,0.33,0.47,0.06,0.76,0.89,1.02,0.05
